Name,DB,Name_clean
Erik Haula,hr,erikhaula
Erik Haula,nst,erikhaula
Erik Johnson,nst,erikjohnson
Erik Johnson,hr,erikjohnson
Erik Karlsson,yh,erikkarlsson
Erik Karlsson,nst,erikkarlsson
Erik Karlsson,hr,erikkarlsson
Erik Portillo,hr,erikportillo
Erik Portillo,nst,erikportillo
Esa Lindell,hr,esalindell
Esa Lindell,nst,esalindell
Esa Lindell,yh,esalindell
Ethan Cardwell,nst,ethancardwell
Ethan Cardwell,hr,ethancardwell
Ethan Del Mastro,hr,ethandelmastro
Ethan Del Mastro,nst,ethandelmastro
Ethen Frank,hr,ethenfrank
Ethen Frank,nst,ethenfrank
Evan Bouchard,nst,evanbouchard
Evan Bouchard,hr,evanbouchard
Evan Bouchard,yh,evanbouchard
Evander Kane,yh,evanderkane
Evan Rodrigues,yh,evanrodrigues
Evan Rodrigues,nst,evanrodrigues
Evan Rodrigues,hr,evanrodrigues
Evgenii Dadonov,nst,evgeniidadonov
Evgenii Dadonov,hr,evgeniidadonov
Evgenii Dadonov,yh,evgeniidadonov
Evgeni Malkin,nst,evgenimalkin
Evgeni Malkin,yh,evgenimalkin
Evgeni Malkin,hr,evgenimalkin
Fabian Lysell,nst,fabianlysell
Fabian Lysell,hr,fabianlysell
Fabian Zetterlund,nst,fabianzetterlund
Fabian Zetterlund,hr,fabianzetterlund
Fabian Zetterlund,yh,fabianzetterlund
Fedor Svechkov,hr,fedorsvechkov
Fedor Svechkov,nst,fedorsvechkov
Filip Chytil,nst,filipchytil
Filip Chytil,yh,filipchytil
Filip Chytil,hr,filipchytil
Filip Forsberg,nst,filipforsberg
Filip Forsberg,hr,filipforsberg
Filip Forsberg,yh,filipforsberg
Filip Gustavsson,yh,filipgustavsson
Filip Gustavsson,nst,filipgustavsson
Filip Gustavsson,hr,filipgustavsson
Filip Hronek,nst,filiphronek
Filip Hronek,yh,filiphronek
Filip Hronek,hr,filiphronek
Frank Nazar,nst,franknazar
Frank Nazar,hr,franknazar
Frank Vatrano,hr,frankvatrano
Frank Vatrano,yh,frankvatrano
Frank Vatrano,nst,frankvatrano
Fraser Minten,hr,fraserminten
Fraser Minten,yh,fraserminten
Fraser Minten,nst,fraserminten
Frederick Gaudreau,nst,frederickgaudreau
Frédérick Gaudreau,hr,frederickgaudreau
Frederick Gaudreau,yh,frederickgaudreau
Frederik Andersen,hr,frederikandersen
Frederik Andersen,yh,frederikandersen
Frederik Andersen,nst,frederikandersen
Gabe Perreault,nst,gabeperreault
Gabriel Landeskog,yh,gabriellandeskog
Gabriel Perreault,hr,gabrielperreault
Gabriel Vilardi,yh,gabrielvilardi
Gabriel Vilardi,hr,gabrielvilardi
Gabriel Vilardi,nst,gabrielvilardi
Gage Goncalves,yh,gagegoncalves
Gage Goncalves,nst,gagegoncalves
Gage Goncalves,hr,gagegoncalves
Garnet Hathaway,yh,garnethathaway
Garnet Hathaway,nst,garnethathaway
Garnet Hathaway,hr,garnethathaway
Georgii Merkulov,nst,georgiimerkulov
Georgii Merkulov,hr,georgiimerkulov
Georgi Romanov,hr,georgiromanov
Georgi Romanov,nst,georgiromanov
Givani Smith,hr,givanismith
Givani Smith,nst,givanismith
Grant Hutton,hr,granthutton
Grant Hutton,nst,granthutton
Grigori Denisenko,hr,grigoridenisenko
Grigori Denisenko,nst,grigoridenisenko
Guillaume Brisebois,nst,guillaumebrisebois
Guillaume Brisebois,hr,guillaumebrisebois
Gustav Forsling,hr,gustavforsling
Gustav Forsling,nst,gustavforsling
Gustav Forsling,yh,gustavforsling
Gustav Nyquist,hr,gustavnyquist
Gustav Nyquist,yh,gustavnyquist
Gustav Nyquist,nst,gustavnyquist
Hampus Lindholm,hr,hampuslindholm
Hampus Lindholm,yh,hampuslindholm
Hampus Lindholm,nst,hampuslindholm
Haydn Fleury,hr,haydnfleury
Haydn Fleury,nst,haydnfleury
Helge Grans,hr,helgegrans
Helge Grans,nst,helgegrans
Hendrix Lapierre,nst,hendrixlapierre
Hendrix Lapierre,hr,hendrixlapierre
Henri Jokiharju,hr,henrijokiharju
Henri Jokiharju,nst,henrijokiharju
Henry Thrun,hr,henrythrun
Henry Thrun,nst,henrythrun
Hudson Fasching,hr,hudsonfasching
Hudson Fasching,nst,hudsonfasching
Ian Cole,yh,iancole
Ian Cole,hr,iancole
Ian Cole,nst,iancole
Ian Mitchell,hr,ianmitchell
Ian Mitchell,nst,ianmitchell
Igor Shesterkin,nst,igorshesterkin
Igor Shesterkin,yh,igorshesterkin
Igor Shesterkin,hr,igorshesterkin
Ilya Lyubushkin,yh,ilyalyubushkin
Ilya Lyubushkin,hr,ilyalyubushkin
Ilya Lyubushkin,nst,ilyalyubushkin
Ilya Mikheyev,yh,ilyamikheyev
Ilya Mikheyev,nst,ilyamikheyev
Ilya Mikheyev,hr,ilyamikheyev
Ilya Samsonov,yh,ilyasamsonov
Ilya Samsonov,nst,ilyasamsonov
Ilya Samsonov,hr,ilyasamsonov
Ilya Solovyov,hr,ilyasolovyov
Ilya Solovyov,nst,ilyasolovyov
Ilya Sorokin,nst,ilyasorokin
Ilya Sorokin,yh,ilyasorokin
Ilya Sorokin,hr,ilyasorokin
Isaak Phillips,nst,isaakphillips
Isaak Phillips,hr,isaakphillips
Isac Lundeström,hr,isaclundestrom
Isac Lundestrom,nst,isaclundestrom
Isaiah George,hr,isaiahgeorge
Isaiah George,nst,isaiahgeorge
Isak Rosen,nst,isakrosen
Isak Rosen,hr,isakrosen
Ivan Barbashev,yh,ivanbarbashev
Ivan Barbashev,hr,ivanbarbashev
Ivan Barbashev,nst,ivanbarbashev
Ivan Demidov,yh,ivandemidov
Ivan Fedotov,hr,ivanfedotov
Ivan Fedotov,yh,ivanfedotov
Ivan Fedotov,nst,ivanfedotov
Ivan Ivan,nst,ivanivan
Ivan Ivan,hr,ivanivan
Ivan Miroshnichenko,nst,ivanmiroshnichenko
Ivan Miroshnichenko,hr,ivanmiroshnichenko
Ivan Provorov,hr,ivanprovorov
Ivan Provorov,nst,ivanprovorov
Ivan Provorov,yh,ivanprovorov
Jaccob Slavin,hr,jaccobslavin
Jaccob Slavin,nst,jaccobslavin
Jaccob Slavin,yh,jaccobslavin
Jack Drury,nst,jackdrury
Jack Drury,hr,jackdrury
Jack Eichel,yh,jackeichel
Jack Eichel,nst,jackeichel
Jack Eichel,hr,jackeichel
Jack Finley,nst,jackfinley
Jack Finley,hr,jackfinley
Jack Hughes,nst,jackhughes
Jack Hughes,yh,jackhughes
Jack Hughes,hr,jackhughes
Jack Johnson,nst,jackjohnson
Jack Johnson,hr,jackjohnson
Jack McBain,nst,jackmcbain
Jack McBain,yh,jackmcbain
Jack McBain,hr,jackmcbain
Jack Quinn,yh,jackquinn
Jack Quinn,nst,jackquinn
Jack Quinn,hr,jackquinn
Jack Roslovic,hr,jackroslovic
Jack Roslovic,nst,jackroslovic
Jack Roslovic,yh,jackroslovic
Jackson Blake,hr,jacksonblake
Jackson Blake,nst,jacksonblake
Jackson LaCombe,yh,jacksonlacombe
Jackson LaCombe,nst,jacksonlacombe
Jackson LaCombe,hr,jacksonlacombe
Jack St. Ivany,nst,jackstivany
Jack St. Ivany,hr,jackstivany
Jack Thompson,yh,jackthompson
Jack Thompson,hr,jackthompson
Jack Thompson,nst,jackthompson
Jacob Bernard-Docker,nst,jacobbernarddocker
Jacob Bernard-Docker,hr,jacobbernarddocker
Jacob Bryson,hr,jacobbryson
Jacob Bryson,nst,jacobbryson
Jacob Gaucher,nst,jacobgaucher
Jacob Gaucher,hr,jacobgaucher
Jacob Markstrom,nst,jacobmarkstrom
Jacob Markström,hr,jacobmarkstrom
Jacob Markstrom,yh,jacobmarkstrom
Jacob Melanson,hr,jacobmelanson
Jacob Melanson,nst,jacobmelanson
Jacob Middleton,hr,jacobmiddleton
Jacob Moverare,hr,jacobmoverare
Jacob Moverare,nst,jacobmoverare
Jacob Quillan,hr,jacobquillan
Jacob Quillan,nst,jacobquillan
Jacob Trouba,nst,jacobtrouba
Jacob Trouba,hr,jacobtrouba
Jacob Trouba,yh,jacobtrouba
Jaden Schwartz,hr,jadenschwartz
Jaden Schwartz,yh,jadenschwartz
Jaden Schwartz,nst,jadenschwartz
Jake Allen,nst,jakeallen
Jake Allen,yh,jakeallen
Jake Allen,hr,jakeallen
Jake Bean,hr,jakebean
Jake Bean,nst,jakebean
Jake Christiansen,hr,jakechristiansen
Jake Christiansen,nst,jakechristiansen
Jake DeBrusk,yh,jakedebrusk
Jake DeBrusk,hr,jakedebrusk
Jake DeBrusk,nst,jakedebrusk
Jake Evans,nst,jakeevans
Jake Evans,hr,jakeevans
Jake Evans,yh,jakeevans
Jake Guentzel,nst,jakeguentzel
Jake Guentzel,yh,jakeguentzel
Jake Guentzel,hr,jakeguentzel
Jake Lucchini,hr,jakelucchini
Jake Lucchini,nst,jakelucchini
Jake McCabe,yh,jakemccabe
Jake McCabe,hr,jakemccabe
Jake McCabe,nst,jakemccabe
Jake Middleton,yh,jakemiddleton
Jake Middleton,nst,jakemiddleton
Jake Neighbours,hr,jakeneighbours
Jake Neighbours,nst,jakeneighbours
Jake Neighbours,yh,jakeneighbours
Jake Oettinger,hr,jakeoettinger
Jake Oettinger,nst,jakeoettinger
Jake Oettinger,yh,jakeoettinger
Jake Sanderson,nst,jakesanderson
Jake Sanderson,yh,jakesanderson
Jake Sanderson,hr,jakesanderson
Jake Walman,yh,jakewalman
Jake Walman,hr,jakewalman
Jake Walman,nst,jakewalman
Jakob Chychrun,hr,jakobchychrun
Jakob Chychrun,yh,jakobchychrun
Jakob Chychrun,nst,jakobchychrun
Jakob Pelletier,nst,jakobpelletier
Jakob Pelletier,hr,jakobpelletier
Jakub Dobes,nst,jakubdobes
Jakub Dobes,yh,jakubdobes
Jakub Dobes,hr,jakubdobes
Jakub Lauko,nst,jakublauko
Jakub Lauko,hr,jakublauko
Jakub Skarek,nst,jakubskarek
Jakub Skarek,hr,jakubskarek
Jakub Vrána,hr,jakubvrana
Jakub Vrana,nst,jakubvrana
Jalen Chatfield,nst,jalenchatfield
Jalen Chatfield,hr,jalenchatfield
Jalen Chatfield,yh,jalenchatfield
James Malatesta,hr,jamesmalatesta
James Malatesta,nst,jamesmalatesta
James Reimer,nst,jamesreimer
James Reimer,yh,jamesreimer
James Reimer,hr,jamesreimer
James van Riemsdyk,nst,jamesvanriemsdyk
James van Riemsdyk,hr,jamesvanriemsdyk
Jamie Benn,nst,jamiebenn
Jamie Benn,hr,jamiebenn
Jamie Benn,yh,jamiebenn
Jamie Drysdale,nst,jamiedrysdale
Jamie Drysdale,yh,jamiedrysdale
Jamie Drysdale,hr,jamiedrysdale
Jamie Oleksiak,yh,jamieoleksiak
Jamie Oleksiak,hr,jamieoleksiak
Jamie Oleksiak,nst,jamieoleksiak
Jani Hakanpää,hr,janihakanpaa
Jani Hakanpää,nst,janihakanpaa
Jani Hakanpaa,yh,janihakanpaa
Jani Nyman,nst,janinyman
Jani Nyman,hr,janinyman
Janis Moser,yh,janismoser
Janis Moser,nst,janismoser
Jan Jenik,nst,janjenik
Jan Jeník,hr,janjenik
Jan Rutta,nst,janrutta
Jan Rutta,hr,janrutta
Jansen Harkins,hr,jansenharkins
Jansen Harkins,nst,jansenharkins
Jared McCann,yh,jaredmccann
Jared McCann,hr,jaredmccann
Jared McCann,nst,jaredmccann
Jared Spurgeon,yh,jaredspurgeon
Jared Spurgeon,hr,jaredspurgeon
Jared Spurgeon,nst,jaredspurgeon
Jason Dickinson,nst,jasondickinson
Jason Dickinson,hr,jasondickinson
Jason Polin,hr,jasonpolin
Jason Polin,nst,jasonpolin
Jason Robertson,hr,jasonrobertson
Jason Robertson,yh,jasonrobertson
Jason Robertson,nst,jasonrobertson
Jason Zucker,hr,jasonzucker
Jason Zucker,yh,jasonzucker
Jason Zucker,nst,jasonzucker
Jaxson Stauber,yh,jaxsonstauber
Jaxson Stauber,nst,jaxsonstauber
Jaxson Stauber,hr,jaxsonstauber
Jaycob Megna,nst,jaycobmegna
Jaycob Megna,hr,jaycobmegna
Jayden Struble,nst,jaydenstruble
Jayden Struble,hr,jaydenstruble
Jean-Gabriel Pageau,yh,jeangabrielpageau
Jean-Gabriel Pageau,nst,jeangabrielpageau
Jean-Gabriel Pageau,hr,jeangabrielpageau
Jeff Malott,nst,jeffmalott
Jeff Malott ,hr,jeffmalott
Jeff Petry,nst,jeffpetry
Jeff Petry,hr,jeffpetry
Jeffrey Viel,hr,jeffreyviel
Jeffrey Viel,nst,jeffreyviel
Jeff Skinner,yh,jeffskinner
Jeff Skinner,nst,jeffskinner
Jeff Skinner,hr,jeffskinner
Jere Innala,hr,jereinnala
Jere Innala,nst,jereinnala
Jeremy Lauzon,yh,jeremylauzon
Jeremy Lauzon,hr,jeremylauzon
Jeremy Lauzon,nst,jeremylauzon
Jeremy Swayman,yh,jeremyswayman
Jeremy Swayman,hr,jeremyswayman
Jeremy Swayman,nst,jeremyswayman
Jesper Boqvist,yh,jesperboqvist
Jesper Boqvist,hr,jesperboqvist
Jesper Boqvist,nst,jesperboqvist
Jesper Bratt,yh,jesperbratt
Jesper Bratt,nst,jesperbratt
Jesper Bratt,hr,jesperbratt
Jesperi Kotkaniemi,yh,jesperikotkaniemi
Jesperi Kotkaniemi,nst,jesperikotkaniemi
Jesperi Kotkaniemi,hr,jesperikotkaniemi
Jesper Wallstedt,yh,jesperwallstedt
Jesper Wallstedt,hr,jesperwallstedt
Jesper Wallstedt,nst,jesperwallstedt
Jesse Puljujärvi,hr,jessepuljujarvi
Jesse Puljujarvi,nst,jessepuljujarvi
Jet Greaves,hr,jetgreaves
Jet Greaves,yh,jetgreaves
Jet Greaves,nst,jetgreaves
Jett Luchanko,hr,jettluchanko
Jett Luchanko,nst,jettluchanko
Jimmy Schuldt,nst,jimmyschuldt
Jimmy Schuldt,hr,jimmyschuldt
Jimmy Snuggerud,hr,jimmysnuggerud
Jimmy Snuggerud,nst,jimmysnuggerud
Jimmy Vesey,hr,jimmyvesey
Jimmy Vesey,nst,jimmyvesey
Jiri Kulich,nst,jirikulich
Jiri Kulich,yh,jirikulich
Jiri Kulich,hr,jirikulich
J.J. Moser,nst,jjmoser
J.J. Moser,hr,jjmoser
Joakim Kemell,nst,joakimkemell
Joakim Kemell,hr,joakimkemell
Joel Armia,hr,joelarmia
Joel Armia,yh,joelarmia
Joel Armia,nst,joelarmia
Joel Blomqvist,nst,joelblomqvist
Joel Blomqvist,yh,joelblomqvist
Joel Blomqvist,hr,joelblomqvist
Joel Edmundson,yh,joeledmundson
Joel Edmundson,nst,joeledmundson
Joel Edmundson,hr,joeledmundson
Joel Eriksson Ek,nst,joelerikssonek
Joel Eriksson Ek,hr,joelerikssonek
Joel Eriksson Ek,yh,joelerikssonek
Joel Farabee,nst,joelfarabee
Joel Farabee,hr,joelfarabee
Joel Farabee,yh,joelfarabee
Joel Hanley,nst,joelhanley
Joel Hanley,hr,joelhanley
Joel Hofer,yh,joelhofer
Joel Hofer,hr,joelhofer
Joel Hofer,nst,joelhofer
Joel Kiviranta,nst,joelkiviranta
Joel Kiviranta,yh,joelkiviranta
Joel Kiviranta,hr,joelkiviranta
Joe Veleno,hr,joeveleno
Joe Veleno,nst,joeveleno
Joey Anderson,hr,joeyanderson
Joey Anderson,nst,joeyanderson
Joey Daccord,hr,joeydaccord
Joey Daccord,yh,joeydaccord
Joey Daccord,nst,joeydaccord
Johnathan Kovacevic,yh,johnathankovacevic
Johnathan Kovacevic,nst,johnathankovacevic
Johnathan Kovacevic,hr,johnathankovacevic
John Beecher,yh,johnbeecher
John Beecher,hr,johnbeecher
John Beecher,nst,johnbeecher
John Carlson,yh,johncarlson
John Carlson,nst,johncarlson
John Carlson,hr,johncarlson
John Gibson,yh,johngibson
John Gibson,hr,johngibson
John Gibson,nst,johngibson
John Hayden,hr,johnhayden
John Hayden,nst,johnhayden
John-Jason Peterka,nst,johnjasonpeterka
John-Jason Peterka,yh,johnjasonpeterka
John-Jason Peterka,hr,johnjasonpeterka
John Klingberg,nst,johnklingberg
John Klingberg,yh,johnklingberg
John Klingberg,hr,johnklingberg
John Ludvig,nst,johnludvig
John Ludvig,hr,johnludvig
John Marino,hr,johnmarino
John Marino,nst,johnmarino
John Tavares,hr,johntavares
John Tavares,nst,johntavares
John Tavares,yh,johntavares
Jonah Gadjovich,nst,jonahgadjovich
Jonah Gadjovich,hr,jonahgadjovich
Jonas Brodin,hr,jonasbrodin
Jonas Brodin,nst,jonasbrodin
Jonas Brodin,yh,jonasbrodin
Jonas Johansson,nst,jonasjohansson
Jonas Johansson,hr,jonasjohansson
Jonas Johansson,yh,jonasjohansson
Jonas Røndbjerg,hr,jonasrondbjerg
Jonas Rondbjerg,nst,jonasrondbjerg
Jonas Siegenthaler,yh,jonassiegenthaler
Jonas Siegenthaler,nst,jonassiegenthaler
Jonas Siegenthaler,hr,jonassiegenthaler
Jonatan Berggren,hr,jonatanberggren
Jonatan Berggren,nst,jonatanberggren
Jonathan Drouin,hr,jonathandrouin
Jonathan Drouin,yh,jonathandrouin
Jonathan Drouin,nst,jonathandrouin
Jonathan Huberdeau,nst,jonathanhuberdeau
Jonathan Huberdeau,hr,jonathanhuberdeau
Jonathan Huberdeau,yh,jonathanhuberdeau
Jonathan Lekkerimaki,nst,jonathanlekkerimaki
Jonathan Lekkerimaki,hr,jonathanlekkerimaki
Jonathan Lekkerimäki,nst,jonathanlekkerimaki
Jonathan Lekkerimaki,yh,jonathanlekkerimaki
Jonathan Marchessault,nst,jonathanmarchessault
Jonathan Marchessault,hr,jonathanmarchessault
Jonathan Marchessault,yh,jonathanmarchessault
Jonathan Quick,yh,jonathanquick
Jonathan Quick,nst,jonathanquick
Jonathan Quick,hr,jonathanquick
Jonathon Merrill,hr,jonathonmerrill
Jon Merrill,nst,jonmerrill
Jonny Brodzinski,hr,jonnybrodzinski
Jonny Brodzinski,nst,jonnybrodzinski
Joona Koppanen,nst,joonakoppanen
Joona Koppanen,hr,joonakoppanen
Joonas Korpisalo,nst,joonaskorpisalo
Joonas Korpisalo,hr,joonaskorpisalo
Joonas Korpisalo,yh,joonaskorpisalo
Jordan Binnington,hr,jordanbinnington
Jordan Binnington,yh,jordanbinnington
Jordan Binnington,nst,jordanbinnington
Jordan Eberle,hr,jordaneberle
Jordan Eberle,yh,jordaneberle
Jordan Eberle,nst,jordaneberle
Jordan Greenway,hr,jordangreenway
Jordan Greenway,nst,jordangreenway
Jordan Greenway,yh,jordangreenway
Jordan Harris,nst,jordanharris
Jordan Harris,hr,jordanharris
Jordan Kyrou,hr,jordankyrou
Jordan Kyrou,nst,jordankyrou
Jordan Kyrou,yh,jordankyrou
Jordan Martinook,hr,jordanmartinook
Jordan Martinook,yh,jordanmartinook
Jordan Martinook,nst,jordanmartinook
Jordan Oesterle,nst,jordanoesterle
Jordan Oesterle,hr,jordanoesterle
Jordan Spence,hr,jordanspence
Jordan Spence,yh,jordanspence
Jordan Spence,nst,jordanspence
Jordan Staal,hr,jordanstaal
Jordan Staal,nst,jordanstaal
Jordan Staal,yh,jordanstaal
Joseph LaBate,nst,josephlabate
Joseph Labate,hr,josephlabate
Joseph Woll,hr,josephwoll
Joseph Woll,nst,josephwoll
Joseph Woll,yh,josephwoll
Josh Anderson,hr,joshanderson
Josh Anderson,nst,joshanderson
Josh Anderson,yh,joshanderson
Josh Brown,hr,joshbrown
Josh Doan,hr,joshdoan
Josh Doan,yh,joshdoan
Josh Doan,nst,joshdoan
Josh Dunne,nst,joshdunne
Josh Mahura,hr,joshmahura
Josh Manson,hr,joshmanson
Josh Manson,yh,joshmanson
Josh Manson,nst,joshmanson
Josh Morrissey,hr,joshmorrissey
Josh Morrissey,nst,joshmorrissey
Josh Morrissey,yh,joshmorrissey
Josh Norris,yh,joshnorris
Josh Norris,nst,joshnorris
Joshua Brown,nst,joshuabrown
Joshua Dunne,hr,joshuadunne
Joshua Mahura,nst,joshuamahura
Joshua Norris,hr,joshuanorris
Joshua Roy,nst,joshuaroy
Joshua Roy,hr,joshuaroy
J.T. Compher,hr,jtcompher
J.T. Compher,yh,jtcompher
J.T. Compher,nst,jtcompher
J.T. Miller,hr,jtmiller
J.T. Miller,yh,jtmiller
J.T. Miller,nst,jtmiller
Juha Jaaska,hr,juhajaaska
Juha Jaaska,nst,juhajaaska
Julien Gauthier,hr,juliengauthier
Julien Gauthier,nst,juliengauthier
Juraj Slafkovsky,hr,jurajslafkovsky
Juraj Slafkovský,nst,jurajslafkovsky
Juraj Slafkovsky,nst,jurajslafkovsky
Juraj Slafkovsky,yh,jurajslafkovsky
Justin Barron,hr,justinbarron
Justin Barron,nst,justinbarron
Justin Brazeau,nst,justinbrazeau
Justin Brazeau,hr,justinbrazeau
Justin Danforth,nst,justindanforth
Justin Danforth,hr,justindanforth
Justin Dowling,hr,justindowling
Justin Dowling,nst,justindowling
Justin Faulk,yh,justinfaulk
Justin Faulk,nst,justinfaulk
Justin Faulk,hr,justinfaulk
Justin Holl,hr,justinholl
Justin Holl,nst,justinholl
Justin Hryckowian,nst,justinhryckowian
Justin Hryckowian,hr,justinhryckowian
Justin Kirkland,hr,justinkirkland
Justin Kirkland,nst,justinkirkland
Justin Robidas,nst,justinrobidas
Justin Robidas,hr,justinrobidas
Justin Sourdif,hr,justinsourdif
Justin Sourdif,nst,justinsourdif
Justus Annunen,yh,justusannunen
Justus Annunen,hr,justusannunen
Justus Annunen,nst,justusannunen
Juuse Saros,hr,juusesaros
Juuse Saros,yh,juusesaros
Juuse Saros,nst,juusesaros
Juuso Parssinen,nst,juusoparssinen
Juuso Pärssinen,hr,juusoparssinen
Juuso Välimäki,hr,juusovalimaki
Juuso Valimaki,nst,juusovalimaki
Kaapo Kähkönen,hr,kaapokahkonen
Kaapo Kahkonen,nst,kaapokahkonen
Kaapo Kahkonen,yh,kaapokahkonen
Kaapo Kakko,yh,kaapokakko
Kaapo Kakko,hr,kaapokakko
Kaapo Kakko,nst,kaapokakko
Kaedan Korczak,hr,kaedankorczak
Kaedan Korczak,nst,kaedankorczak
Kaiden Guhle,nst,kaidenguhle
Kaiden Guhle,yh,kaidenguhle
Kaiden Guhle,hr,kaidenguhle
Kailer Yamamoto,nst,kaileryamamoto
Kailer Yamamoto,hr,kaileryamamoto
K'Andre Miller,yh,kandremiller
K'Andre Miller,hr,kandremiller
K'Andre Miller,nst,kandremiller
Karel Vejmelka,hr,karelvejmelka
Karel Vejmelka,yh,karelvejmelka
Karel Vejmelka,nst,karelvejmelka
Kasperi Kapanen,nst,kasperikapanen
Kasperi Kapanen,hr,kasperikapanen
Keaton Middleton,nst,keatonmiddleton
Keaton Middleton,hr,keatonmiddleton
Keegan Kolesar,nst,keegankolesar
Keegan Kolesar,hr,keegankolesar
Keegan Kolesar,yh,keegankolesar
Kent Johnson,hr,kentjohnson
Kent Johnson,yh,kentjohnson
Kent Johnson,nst,kentjohnson
Kevin Bahl,hr,kevinbahl
Kevin Bahl,nst,kevinbahl
Kevin Bahl,yh,kevinbahl
Kevin Fiala,nst,kevinfiala
Kevin Fiala,yh,kevinfiala
Kevin Fiala,hr,kevinfiala
Kevin Gravel,hr,kevingravel
Kevin Gravel,nst,kevingravel
Kevin Hayes,nst,kevinhayes
Kevin Hayes,hr,kevinhayes
Kevin Korchinski,nst,kevinkorchinski
Kevin Korchinski,hr,kevinkorchinski
Kevin Labanc,hr,kevinlabanc
Kevin Labanc,nst,kevinlabanc
Kevin Lankinen,yh,kevinlankinen
Kevin Lankinen,hr,kevinlankinen
Kevin Lankinen,nst,kevinlankinen
Kevin Rooney,nst,kevinrooney
Kevin Rooney,hr,kevinrooney
Kevin Stenlund,nst,kevinstenlund
Kevin Stenlund,hr,kevinstenlund
Kiefer Sherwood,nst,kiefersherwood
Kiefer Sherwood,hr,kiefersherwood
Kiefer Sherwood,yh,kiefersherwood
Kieffer Bellows,hr,kiefferbellows
Kieffer Bellows,nst,kiefferbellows
Kirby Dach,yh,kirbydach
Kirby Dach,nst,kirbydach
Kirby Dach,hr,kirbydach
Kirill Kaprizov,yh,kirillkaprizov
Kirill Kaprizov,hr,kirillkaprizov
Kirill Kaprizov,nst,kirillkaprizov
Kirill Marchenko,yh,kirillmarchenko
Kirill Marchenko,hr,kirillmarchenko
Kirill Marchenko,nst,kirillmarchenko
Klim Kostin,hr,klimkostin
Klim Kostin,nst,klimkostin
Kris Letang,yh,krisletang
Kris Letang,hr,krisletang
Kris Letang,nst,krisletang
Kurtis MacDermid,nst,kurtismacdermid
Kurtis MacDermid,hr,kurtismacdermid
Kyle Burroughs,hr,kyleburroughs
Kyle Burroughs,nst,kyleburroughs
Kyle Capobianco,nst,kylecapobianco
Kyle Capobianco,hr,kylecapobianco
Kyle Connor,hr,kyleconnor
Kyle Connor,nst,kyleconnor
Kyle Connor,yh,kyleconnor
Kyle MacLean,nst,kylemaclean
Kyle MacLean,hr,kylemaclean
Kyle Palmieri,yh,kylepalmieri
Kyle Palmieri,nst,kylepalmieri
Kyle Palmieri,hr,kylepalmieri
Landon Slaggert,nst,landonslaggert
Landon Slaggert,hr,landonslaggert
Lane Hutson,hr,lanehutson
Lane Hutson,nst,lanehutson
Lane Hutson,yh,lanehutson
Lars Eller,nst,larseller
Lars Eller,hr,larseller
Laurent Brossoit,yh,laurentbrossoit
Lawson Crouse,nst,lawsoncrouse
Lawson Crouse,hr,lawsoncrouse
Lawson Crouse,yh,lawsoncrouse
Leevi Merilainen,yh,leevimerilainen
Leevi Merilainen,hr,leevimerilainen
Leevi Merilainen,nst,leevimerilainen
Leo Carlsson,nst,leocarlsson
Leo Carlsson,hr,leocarlsson
Leo Carlsson,yh,leocarlsson
Leon Draisaitl,nst,leondraisaitl
Leon Draisaitl,hr,leondraisaitl
Leon Draisaitl,yh,leondraisaitl
Liam Foudy,nst,liamfoudy
Liam Foudy,hr,liamfoudy
Liam O'Brien,nst,liamobrien
Liam O'Brien,hr,liamobrien
Liam O'Brien,yh,liamobrien
Liam Ohgren,hr,liamohgren
Liam Ohgren,nst,liamohgren
Lian Bichsel,nst,lianbichsel
Lian Bichsel,yh,lianbichsel
Lian Bichsel,hr,lianbichsel
Linus Karlsson,nst,linuskarlsson
Linus Karlsson,hr,linuskarlsson
Linus Ullmark,hr,linusullmark
Linus Ullmark,nst,linusullmark
Linus Ullmark,yh,linusullmark
Logan Cooley,yh,logancooley
Logan Cooley,nst,logancooley
Logan Cooley,hr,logancooley
Logan Mailloux,nst,loganmailloux
Logan Mailloux,hr,loganmailloux
Logan O'Connor,nst,loganoconnor
Logan O'Connor,hr,loganoconnor
Logan Stankoven,yh,loganstankoven
Logan Stankoven,hr,loganstankoven
Logan Stankoven,nst,loganstankoven
Logan Stanley,hr,loganstanley
Logan Stanley,nst,loganstanley
Logan Thompson,nst,loganthompson
Logan Thompson,yh,loganthompson
Logan Thompson,hr,loganthompson
Louis Crevier,nst,louiscrevier
Louis Crevier,hr,louiscrevier
Louis Domingue,hr,louisdomingue
Louis Domingue,nst,louisdomingue
Luca Cagnoni,nst,lucacagnoni
Luca Cagnoni,hr,lucacagnoni
Luca Del Bel Belluz,hr,lucadelbelbelluz
Luca Del Bel Belluz,nst,lucadelbelbelluz
Lucas Carlsson,nst,lucascarlsson
Lucas Carlsson,hr,lucascarlsson
Lucas Condotta,hr,lucascondotta
Lucas Condotta,nst,lucascondotta
Lucas Raymond,nst,lucasraymond
Lucas Raymond,yh,lucasraymond
Lucas Raymond,hr,lucasraymond
Lukáš Dostál,hr,lukasdostal
Lukas Dostal,nst,lukasdostal
Lukas Dostal,yh,lukasdostal
Lukas Reichel,hr,lukasreichel
Lukas Reichel,nst,lukasreichel
Luke Evangelista,nst,lukeevangelista
Luke Evangelista,hr,lukeevangelista
